0;4616472226919891456
1;1134698164523524
2;145245488210771968
3;9225659571509403722
4;9306541295403012
5;793796853170700833
6;4657550048100352
7;140879491761408
8;36063990048164896
9;144423404636995843
10;2262253797769552
11;5778971683064930323
12;2315980524138692672
13;5764706487710515713
14;144124430982057985
15;4505800865514080
16;4665733629457203464
17;9011680652692096
18;2252091957708816
19;9805462323121358912
20;2308378494037393957
21;181551360525733888
22;4760867779035662346
23;865271932730246160
24;9250402568759740484
25;2254067624575506
26;72101608930526208
27;18018796560252960
28;4621256305644961856
29;10486592166731784
30;19140986165272833
31;12108214579314583552
32;581109076205568
33;290306505310464
34;4618459594439525440
35;13550398489493792
36;107752677048448
37;9042937678537728
38;2297997024051456
39;2467373885982209
40;18172797173368832
41;581661515321856
42;4786178427469956
43;36451842841956480
44;9112769824031744
45;94610847497879584
46;2595252079015002384
47;9614405910155394
48;145524006104072198
49;577024260736944416
50;2305986087593975808
51;10389841182657355776
52;2747196052022099972
53;2918402936541431360
54;2310348876653036036
55;2310418223134277632
56;299619469246592
57;4613375968890068992
58;2314902989389906945
59;2380715361642875392
60;13835098739896878213
61;56858838917326880
62;4693052087603561472
63;587798988015667232
