0;9259401108819831424
1;180179174835650576
2;2377918332893399108
3;432352161436819520
4;72062000808656912
5;144116296177943568
6;144115755045093640
7;216174981686531840
8;2392539453718576
9;9944299822566604864
10;2739455279564333056
11;9228157266212946176
12;2310487363526590593
13;4758615991200534564
14;37154776402104324
15;649081298777817362
16;35734132097168
17;5480882120903630868
18;171174169508086272
19;2902579855982854402
20;578715300963319816
21;563501856850944
22;90393049976824080
23;72059793078517844
24;72127973519622244
25;144150374599622784
26;2306478599951090944
27;297519089038917921
28;4902731290376143880
29;9800958697688533008
30;6917530144334164114
31;4611703894082356225
32;9223477864874115456
33;576497038351417348
34;9017095413043265
35;591381160005734400
36;140754676615168
37;240946980266705408
38;11531504233639585808
39;1197957780154091684
40;1153062246394560552
41;4769312280800182272
42;2342153418652581904
43;324276765490970752
44;1126449796907012
45;2595217152873595140
46;1133905182736
47;3461052598634020876
48;35459392607360
49;4503737070520384
50;9237169945711756544
51;4503874639757376
52;140771848355968
53;9570218003726848
54;9096465989370880
55;2305879295786222080
56;2954645650727403521
57;2418503372962308251
58;2377936071226917378
59;9295435128719286281
60;1688867578054658
61;281758579032129
62;148627586212250116
63;567005954310
