0;0;9241421688590303744
0;8;512
0;1;262656
0;9;512
0;16;134480384
0;24;512
0;17;262656
0;25;512
0;4;68853957120
0;12;512
0;5;262656
0;13;512
0;20;134480384
0;28;512
0;21;262656
0;29;512
0;34;35253226045952
0;42;512
0;35;262656
0;43;512
0;50;134480384
0;58;512
0;51;262656
0;59;512
0;38;68853957120
0;46;512
0;39;262656
0;47;512
0;54;134480384
0;62;512
0;55;262656
0;63;512
0;32;18049651735527936
0;40;512
0;33;262656
0;41;512
0;48;134480384
0;56;512
0;49;262656
0;57;512
0;36;68853957120
0;44;512
0;37;262656
0;45;512
0;52;134480384
0;60;512
0;53;262656
0;61;512
0;2;35253226045952
0;10;512
0;3;262656
0;11;512
0;18;134480384
0;26;512
0;19;262656
0;27;512
0;6;68853957120
0;14;512
0;7;262656
0;15;512
0;22;134480384
0;30;512
0;23;262656
0;31;512
1;0;36099303471056128
1;2;1280
1;8;525568
1;10;1280
1;1;268961024
1;3;1280
1;9;525568
1;11;1280
1;4;137707914496
1;6;1280
1;12;525568
1;14;1280
1;5;268961024
1;7;1280
1;13;525568
1;15;1280
1;16;70506452092160
1;18;1280
1;24;525568
1;26;1280
1;17;268961024
1;19;1280
1;25;525568
1;27;1280
1;20;137707914496
1;22;1280
1;28;525568
1;30;1280
1;21;268961024
1;23;1280
1;29;525568
1;31;1280
2;0;141012904249856
2;1;141012904184320
2;4;68096
2;5;2560
2;8;1116672
2;9;1051136
2;12;68096
2;13;2560
2;2;537987584
2;3;537922048
2;6;68096
2;7;2560
2;10;1116672
2;11;1051136
2;14;68096
2;15;2560
2;16;275415894528
2;17;275415828992
2;20;68096
2;21;2560
2;24;1116672
2;25;1051136
2;28;68096
2;29;2560
2;18;537987584
2;19;537922048
2;22;68096
2;23;2560
2;26;1116672
2;27;1051136
2;30;68096
2;31;2560
3;0;550848566272
3;4;550831657984
3;16;16913408
3;20;5120
3;8;550831789056
3;12;550831657984
3;24;136192
3;28;5120
3;2;19010560
3;6;2102272
3;18;16913408
3;22;5120
3;10;2233344
3;14;2102272
3;26;136192
3;30;5120
3;1;1092752384
3;5;1075844096
3;17;16913408
3;21;5120
3;9;1075975168
3;13;1075844096
3;25;136192
3;29;5120
3;3;19010560
3;7;2102272
3;19;16913408
3;23;5120
3;11;2233344
3;15;2102272
3;27;136192
3;31;5120
4;0;6480472064
4;1;2151688192
4;4;4328794112
4;5;10240
4;8;2151950336
4;9;2151688192
4;12;272384
4;13;10240
4;2;4332988416
4;3;4204544
4;6;4328794112
4;7;10240
4;10;4466688
4;11;4204544
4;14;272384
4;15;10240
4;16;2185504768
4;17;2151688192
4;20;33826816
4;21;10240
4;24;2151950336
4;25;2151688192
4;28;272384
4;29;10240
4;18;38021120
4;19;4204544
4;22;33826816
4;23;10240
4;26;4466688
4;27;4204544
4;30;272384
4;31;10240
5;0;1108177604608
5;8;8409088
5;1;1108169216000
5;9;20480
5;2;8933376
5;10;8409088
5;3;544768
5;11;20480
5;4;76042240
5;12;8409088
5;5;67653632
5;13;20480
5;6;8933376
5;14;8409088
5;7;544768
5;15;20480
5;16;8665976832
5;24;8409088
5;17;8657588224
5;25;20480
5;18;8933376
5;26;8409088
5;19;544768
5;27;20480
5;20;76042240
5;28;8409088
5;21;67653632
5;29;20480
5;22;8933376
5;30;8409088
5;23;544768
5;31;20480
6;0;283691315142656
6;2;40960
6;24;1089536
6;26;40960
6;4;135307264
6;6;40960
6;28;1089536
6;30;40960
6;16;17315176448
6;18;40960
6;8;1089536
6;10;40960
6;20;135307264
6;22;40960
6;12;1089536
6;14;40960
6;9;2216338432000
6;11;40960
6;1;1089536
6;3;40960
6;13;135307264
6;15;40960
6;5;1089536
6;7;40960
6;25;17315176448
6;27;40960
6;17;1089536
6;19;40960
